File,Date,Season,Match_Type,Match_Number,City,Venue,Ground,Team_Type,Gender,Overs,Balls_Per_Over,Teams,Team1,Team2,Winner,Result_Type,Result_Value,Player_Of_Match,Toss_Winner,Toss_Decision,Team1_Players,Team2_Players
1001349.json,2017-02-17,2016/17,T20,596,N/A,Melbourne Cricket Ground,N/A,international,male,20,6,"Australia, Sri Lanka",Australia,Sri Lanka,Sri Lanka,wickets,5,DAS Gunaratne,Sri Lanka,field,11,11
1001351.json,2017-02-19,2016/17,T20,597,Victoria,"Simonds Stadium, South Geelong",N/A,international,male,20,6,"Australia, Sri Lanka",Australia,Sri Lanka,Sri Lanka,wickets,2,DAS Gunaratne,Sri Lanka,field,11,11
1001353.json,2017-02-22,2016/17,T20,598,N/A,Adelaide Oval,N/A,international,male,20,6,"Australia, Sri Lanka",Australia,Sri Lanka,Australia,runs,41,A Zampa,Sri Lanka,field,11,11
1083449.json,2017-04-04,2016/17,T20,606,Colombo,R Premadasa Stadium,N/A,international,male,20,6,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,Sri Lanka,wickets,6,MDKJ Perera,Bangladesh,bat,11,11
1083450.json,2017-04-06,2016/17,T20,607,Colombo,R Premadasa Stadium,N/A,international,male,20,6,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,Bangladesh,runs,45,Shakib Al Hasan,Bangladesh,bat,11,11
1109610.json,2017-09-06,2017,T20,618,Colombo,"R.Premadasa Stadium, Khettarama",N/A,international,male,20,6,"Sri Lanka, India",Sri Lanka,India,India,wickets,7,V Kohli,India,field,11,11
1120291.json,2017-10-26,2017/18,T20,625,Abu Dhabi,Sheikh Zayed Stadium,N/A,international,male,20,6,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,Pakistan,wickets,7,Usman Shinwari,Pakistan,field,11,11
1120292.json,2017-10-27,2017/18,T20,627,Abu Dhabi,Sheikh Zayed Stadium,N/A,international,male,20,6,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,Pakistan,wickets,2,Shadab Khan,Pakistan,field,11,11
1120293.json,2017-10-29,2017/18,T20,629,Lahore,Gaddafi Stadium,N/A,international,male,20,6,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,Pakistan,runs,36,Shoaib Malik,Sri Lanka,field,11,11
1122729.json,2017-12-20,2017/18,T20,633,Cuttack,Barabati Stadium,N/A,international,male,20,6,"India, Sri Lanka",India,Sri Lanka,India,runs,93,YS Chahal,Sri Lanka,field,11,11
1122730.json,2017-12-22,2017/18,T20,634,Indore,Holkar Cricket Stadium,N/A,international,male,20,6,"India, Sri Lanka",India,Sri Lanka,India,runs,88,RG Sharma,Sri Lanka,field,11,11
1122731.json,2017-12-24,2017/18,T20,635,Mumbai,Wankhede Stadium,N/A,international,male,20,6,"Sri Lanka, India",Sri Lanka,India,India,wickets,5,JD Unadkat,India,field,11,11
1130746.json,2018-02-15,2017/18,T20,648,Dhaka,"Shere Bangla National Stadium, Mirpur",N/A,international,male,20,6,"Bangladesh, Sri Lanka",Bangladesh,Sri Lanka,Sri Lanka,wickets,6,BKG Mendis,Bangladesh,bat,11,11
1130747.json,2018-02-18,2017/18,T20,651,N/A,Sylhet International Cricket Stadium,N/A,international,male,20,6,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,Sri Lanka,runs,75,BKG Mendis,Bangladesh,field,11,11
1133817.json,2018-03-06,2017/18,T20,656,Colombo,"R.Premadasa Stadium, Khettarama",N/A,international,male,20,6,"India, Sri Lanka",India,Sri Lanka,Sri Lanka,wickets,5,MDKJ Perera,Sri Lanka,field,11,11
