Player_Name,Batting_Style,Bowling_Style,URL,Status
A Balbirnie,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/a-balbirnie-303423,Success
A Deshmukh,N/A,N/A,https://www.espncricinfo.com/cricketers/a-deshmukh-412593,No style info
A Dutt,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/a-dutt-1195672,Success
A Mehrotra,N/A,N/A,https://www.espncricinfo.com/cricketers/a-mehrotra-495001,No style info
A Mishra,Right hand Bat,Legbreak,https://www.espncricinfo.com/cricketers/a-mishra-31107,Success
A Nehra,Right hand Bat,Left arm Medium fast,https://www.espncricinfo.com/cricketers/a-nehra-31820,Success
A Nortje,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/a-nortje-481979,Success
A Paleker,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/a-paleker-46805,Success
A Shukla,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/a-shukla-1167779,Success
A Symonds,Right hand Bat,"Right arm Medium, Right arm Offbreak",https://www.espncricinfo.com/cricketers/a-symonds-7702,Success
A Zampa,Right hand Bat,Legbreak Googly,https://www.espncricinfo.com/cricketers/a-zampa-379504,Success
AA Obanda,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/aa-obanda-291844,Success
AB Dinda,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/ab-dinda-227712,Success
AB de Villiers,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,Success
AC Agar,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ac-agar-505120,Success
AC Botha,Left hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ac-botha-44102,Success
AC Gilchrist,Left hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/ac-gilchrist-5390,Success
AC Voges,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ac-voges-8119,Success
AD Hales,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ad-hales-249866,Success
AD Mathews,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ad-mathews-49764,Success
AD Russell,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/ad-russell-276298,Success
ADS Fletcher,Right hand Bat,"Right arm Medium fast, Legbreak",https://www.espncricinfo.com/cricketers/ads-fletcher-51862,Success
AF Milne,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/af-milne-450860,Success
AG Cremer,Right hand Bat,Legbreak Googly,https://www.espncricinfo.com/cricketers/ag-cremer-55346,Success
AG Dissanayake,Left hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/ag-dissanayake-48706,Success
AG Hurst,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/ag-hurst-5732,Success
AG Wharf,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/ag-wharf-22380,Success
AJ Barrow,N/A,N/A,https://www.espncricinfo.com/cricketers/aj-barrow-270508,No style info
AJ Finch,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/aj-finch-5334,Success
AJ Hosein,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/aj-hosein-530812,Success
AJ McKay,Right hand Bat,Left arm Fast medium,https://www.espncricinfo.com/cricketers/aj-mckay-38005,Success
AJ Pycroft,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/aj-pycroft-55700,Success
AJ Redmond,Right hand Bat,Legbreak,https://www.espncricinfo.com/cricketers/aj-redmond-38264,Success
AJ Strauss,Left hand Bat,Left arm Medium,https://www.espncricinfo.com/cricketers/aj-strauss-20387,Success
AJ Turner,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/aj-turner-500268,Success
AJ Tye,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/aj-tye-459508,Success
AK Chaudhary,N/A,N/A,https://www.espncricinfo.com/cricketers/ak-chaudhary-265839,No style info
AK Markram,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/ak-markram-600498,Success
AK Perera,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ak-perera-300629,Success
AL Hill,N/A,N/A,https://www.espncricinfo.com/cricketers/al-hill-37274,No style info
AL Phehlukwayo,Left hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/al-phehlukwayo-540316,Success
AM Ellis,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/am-ellis-36993,Success
AM Fernando,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/am-fernando-786925,Success
AM Phangiso,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/am-phangiso-46942,Success
AM Rahane,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/am-rahane-277916,Success
AM Saheba,Right hand Bat,N/A,https://www.espncricinfo.com/cricketers/am-saheba-34544,Success
AO Suji,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ao-suji-24723,Success
AP Devcich,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ap-devcich-36948,Success
AR Adams,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/ar-adams-36192,Success
AR Cusack,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/ar-cusack-293983,Success
AR Maddela,N/A,N/A,https://www.espncricinfo.com/cricketers/ar-maddela-373679,No style info
AR Patel,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ar-patel-554691,Success
AR White,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/ar-white-24286,Success
AS Joseph,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/as-joseph-670031,Success
AT Carey,Left hand Bat,N/A,https://www.espncricinfo.com/cricketers/at-carey-326434,Success
AT Holdstock,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/at-holdstock-45448,Success
AU Rashid,Right hand Bat,Legbreak,https://www.espncricinfo.com/cricketers/au-rashid-244497,Success
AY Dandekar,N/A,N/A,https://www.espncricinfo.com/cricketers/ay-dandekar-27986,No style info
Aamir Kaleem,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/aamir-kaleem-455463,Success
Aayan Afzal Khan,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,Success
Abdul Razzaq,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/abdul-razzaq-39836,Success
Abdur Razzak,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/abdur-razzak-56283,Success
Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,Success
Abrar Ahmed,Right hand Bat,Legbreak Googly,https://www.espncricinfo.com/cricketers/abrar-ahmed-734459,Success
Abu Jayed,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/abu-jayed-410763,Success
Afif Hossain,Left hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/afif-hossain-935995,Success
Aftab Ahmed,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/aftab-ahmed-56266,Success
Agha Salman,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/agha-salman-623977,Success
Ahmed Raza,Right hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/ahmed-raza-245490,Success
Ahmed Shah Pakteen,N/A,N/A,https://www.espncricinfo.com/cricketers/ahmed-shah-pakteen-604347,No style info
Ahmed Shahab,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/ahmed-shahab-39138,Success
Ahmed Shehzad,Right hand Bat,Legbreak,https://www.espncricinfo.com/cricketers/ahmed-shehzad-259410,Success
Ahsan Malik,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/ahsan-malik-518097,Success
Ahsan Raza,Right hand Bat,N/A,https://www.espncricinfo.com/cricketers/ahsan-raza-39146,Success
Aizaz Cheema,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/aizaz-cheema-39821,Success
Aizaz Khan,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/aizaz-khan-401540,Success
Al-Amin Hossain,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/al-amin-hossain-511532,Success
Aleem Dar,Right hand Bat,Legbreak,https://www.espncricinfo.com/cricketers/aleem-dar-39157,Success
Amjad Javed,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/amjad-javed-25613,Success
Anamul Haque,Right hand Bat,N/A,https://www.espncricinfo.com/cricketers/anamul-haque-380354,Success
Anisur Rahman,N/A,Left arm Medium fast,https://www.espncricinfo.com/cricketers/anisur-rahman-56222,Success
Anshuman Rath,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/anshuman-rath-452472,Success
Anwar Ali,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/anwar-ali-232491,Success
Arafat Sunny,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/arafat-sunny-56268,Success
Ariful Haque,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/ariful-haque-270135,Success
Arshdeep Singh,Left hand Bat,Left arm Medium fast,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,Success
Aryan Lakra,Left hand Bat,Slow Left arm Orthodox,https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,Success
Asad Rauf,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/asad-rauf-39219,Success
Asad Shafiq,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/asad-shafiq-316397,Success
Asif Ali,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/asif-ali-494230,Success
Asif Yaqoob,N/A,N/A,https://www.espncricinfo.com/cricketers/asif-yaqoob-681417,No style info
Ateeq Iqbal,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/ateeq-iqbal-1199892,Success
Avesh Khan,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/avesh-khan-694211,Success
B Evans,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/b-evans-696127,Success
B Fernando,Right hand Bat,Left arm Medium fast,https://www.espncricinfo.com/cricketers/b-fernando-629080,Success
B Kumar,Right hand Bat,Right arm Medium,https://www.espncricinfo.com/cricketers/b-kumar-326016,Success
B Laughlin,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/b-laughlin-315623,Success
B Lee,Right hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/b-lee-6278,Success
B Muzarabani,Right hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/b-muzarabani-827051,Success
B Shikongo,Right hand Bat,Right arm Medium fast,https://www.espncricinfo.com/cricketers/b-shikongo-1069820,Success
B Stanlake,Left hand Bat,Right arm Fast,https://www.espncricinfo.com/cricketers/b-stanlake-533042,Success
BA King,Right hand Bat,N/A,https://www.espncricinfo.com/cricketers/ba-king-670035,Success
BA Stokes,Left hand Bat,Right arm Fast medium,https://www.espncricinfo.com/cricketers/ba-stokes-311158,Success
BAW Mendis,Right hand Bat,Right arm Offbreak,https://www.espncricinfo.com/cricketers/baw-mendis-268739,Success
